Equipo,Goles Marcados Local,Goles Marcados Visitante,Goles Recibidos Local,Goles Recibidos Visitante
Napoles,7.0,7.0,7.0,9.0
Real Madrid,43.0,24.0,24.0,24.0
Lazio,12.0,9.0,13.0,16.0
Barcelona,32.0,22.0,28.0,10.0
Dortmund,19.0,15.0,12.0,19.0
Porto,14.0,18.0,8.0,15.0
Leipzig,27.0,20.0,21.0,29.0
Bayern,23.0,28.0,13.0,10.0
PSV,5.0,4.0,4.0,11.0
PSG,42.0,39.0,13.0,32.0
Manchester City,47.0,38.0,17.0,13.0
Atletico Madrid,24.0,15.0,8.0,12.0
Copenhague,7.0,2.0,7.0,3.0
Inter,10.0,20.0,12.0,21.0
Arsenal,16.0,5.0,0.0,5.0
Real Sociedad,5.0,3.0,3.0,0.0
