Equipo,Golesxpartido Local,Golesxpartido Visitante,Golesxpartido Recibidos Local,Golesxpartido Recibidos Visitante
Bayern,2.6,3.4,0.9,0.9
Real Sociedad,1.3,1.0,0.7,0.0
PSG,1.9,1.9,0.6,1.4
Real Madrid,2.5,1.4,1.2,1.3
Arsenal,4.0,1.3,0.0,1.3
Atletico Madrid,2.1,1.9,0.7,1.3
Leipzig,1.8,1.5,1.3,1.8
Copenhague,2.0,0.7,1.7,1.0
Dortmund,1.6,1.4,0.8,1.5
Manchester City,2.3,2.2,0.8,0.7
PSV,1.3,1.3,1.0,2.3
Porto,1.8,2.0,0.9,1.2
Barcelona,2.2,1.6,1.8,0.7
Inter,1.0,1.8,0.9,1.7
Lazio,1.9,1.0,1.3,1.6
Napoles,1.7,1.7,1.3,1.7
